,score,idle_production_time,idle_worker_time,total_value_units,total_value_structures,killed_value_units,killed_value_structures,collected_minerals,collected_vespene,collection_rate_minerals,collection_rate_vespene,spent_minerals,spent_vespene,number_roaches,result,race,difficulty
1,1100,17,0,700,300,0,0,0,0,0,0,50,0,33,1,protoss,hard
2,1125,37,0,700,300,0,0,25,0,176,0,50,0,33,1,protoss,hard
3,1160,54,0,700,300,0,0,60,0,347,0,100,0,33,1,protoss,hard
4,1220,69,0,750,300,0,0,120,0,671,0,100,0,33,1,protoss,hard
5,1250,84,0,750,300,0,0,150,0,727,0,100,0,33,1,protoss,hard
6,1260,102,0,800,300,0,0,185,0,699,0,125,0,33,1,protoss,hard
7,1340,119,0,800,300,0,0,240,0,671,0,175,0,33,1,protoss,hard
8,1375,134,0,800,300,0,0,275,0,699,0,175,0,33,1,protoss,hard
9,1420,149,0,800,300,0,0,320,0,755,0,175,0,33,1,protoss,hard
10,1270,167,0,850,300,0,0,370,0,727,0,375,0,33,1,protoss,hard
11,1510,186,0,850,300,0,0,410,0,755,0,425,0,33,1,protoss,hard
12,1540,201,0,850,300,0,0,440,0,671,0,425,0,33,1,protoss,hard
13,1575,216,0,850,325,0,0,475,0,587,0,425,0,33,1,protoss,hard
14,1618,232,0,850,325,0,0,510,8,559,44,425,0,33,1,protoss,hard
15,1672,252,0,900,325,0,0,560,12,671,67,425,0,33,1,protoss,hard
16,1710,272,0,900,325,0,0,590,20,643,111,425,0,33,1,protoss,hard
17,1753,292,0,900,325,0,0,625,28,615,111,425,0,33,1,protoss,hard
18,1806,312,0,900,325,0,0,670,36,615,134,425,0,33,1,protoss,hard
19,1554,332,0,900,325,0,0,710,44,671,111,725,0,33,1,protoss,hard
20,1563,352,0,900,325,0,0,740,48,671,111,750,0,33,1,protoss,hard
21,1627,371,1,900,325,0,0,775,52,587,89,800,0,33,1,protoss,hard
22,1965,385,6,900,325,0,0,805,60,531,111,850,0,33,1,protoss,hard
23,1998,395,11,900,325,0,0,830,68,503,111,850,0,33,1,protoss,hard
24,2041,408,16,900,525,0,0,865,76,503,134,850,0,33,1,protoss,hard
25,2079,428,21,950,525,0,0,895,84,503,134,850,0,33,1,protoss,hard
26,2122,448,26,1000,525,0,0,930,92,559,111,850,0,33,1,protoss,hard
27,2151,469,31,1000,550,0,0,955,96,503,111,850,0,33,1,protoss,hard
28,2193,494,36,1000,550,0,0,985,108,503,134,1000,0,33,1,protoss,hard
29,2239,517,41,1000,550,0,0,1015,124,475,201,1050,0,33,1,protoss,hard
30,2285,537,46,1000,550,0,0,1045,140,503,246,1050,0,33,1,protoss,hard
31,2313,557,51,1000,550,0,0,1065,148,447,223,1050,0,33,1,protoss,hard
32,2359,579,56,1050,550,0,0,1095,164,447,223,1050,0,33,1,protoss,hard
33,2405,604,61,1050,550,0,0,1125,180,447,223,1050,0,33,1,protoss,hard
34,2451,629,66,1050,550,0,0,1155,196,503,268,1050,0,33,1,protoss,hard
35,2492,654,71,1050,550,0,0,1180,212,475,268,1050,0,33,1,protoss,hard
36,2548,679,76,1050,550,0,0,1220,228,531,268,1050,0,33,1,protoss,hard
37,2594,704,81,1050,550,0,0,1250,244,531,246,1050,0,33,1,protoss,hard
38,2631,729,86,1050,550,0,0,1275,256,503,246,1050,0,33,1,protoss,hard
39,2378,754,91,1050,700,0,0,1310,268,503,223,1350,0,33,1,protoss,hard
40,2424,784,96,1050,700,0,0,1340,284,503,246,1350,0,33,1,protoss,hard
41,2770,811,101,1050,700,0,0,1370,300,559,246,1400,0,33,1,protoss,hard
42,2802,844,106,1050,1000,0,0,1390,312,447,246,1400,0,33,1,protoss,hard
43,2848,876,111,1050,1000,0,0,1420,328,447,246,1450,0,33,1,protoss,hard
44,2894,909,116,1100,1000,0,0,1450,344,447,246,1450,0,33,1,protoss,hard
45,2941,943,121,1100,1000,0,0,1485,356,531,246,1500,0,33,1,protoss,hard
46,2977,977,126,1150,1000,0,0,1505,372,475,246,1550,0,33,1,protoss,hard
47,3023,1010,131,1150,1000,0,0,1535,388,475,246,1550,0,33,1,protoss,hard
48,3079,1047,136,1200,1000,0,0,1575,404,503,246,1600,0,33,1,protoss,hard
49,3126,1082,141,1200,1000,0,0,1610,416,587,246,1600,0,33,1,protoss,hard
50,3172,1115,146,1250,1000,0,0,1640,432,587,246,1650,0,33,1,protoss,hard
51,3228,1148,151,1300,1000,0,0,1680,448,587,268,1700,0,33,1,protoss,hard
52,3279,1178,156,1300,1000,0,0,1715,464,587,268,1700,0,33,1,protoss,hard
53,3341,1216,164,1350,1000,0,0,1765,476,643,223,1700,0,33,1,protoss,hard
54,3393,1256,174,1400,1000,0,0,1805,488,699,223,1700,0,33,1,protoss,hard
55,3444,1296,184,1400,1000,0,0,1840,504,699,223,1700,0,33,1,protoss,hard
56,3515,1339,194,1400,1000,0,0,1895,520,755,268,1700,0,33,1,protoss,hard
57,3571,1384,204,1400,1000,0,0,1935,536,727,268,1700,0,33,1,protoss,hard
58,3632,1429,214,1400,1000,0,0,1980,552,783,268,1700,0,33,1,protoss,hard
59,3698,1477,224,1400,1000,0,0,2030,568,783,223,1700,0,33,1,protoss,hard
60,3756,1527,234,1400,1000,0,0,2080,576,811,223,1700,0,33,1,protoss,hard
61,3807,1581,244,1400,1300,0,0,2115,592,755,223,1800,0,33,1,protoss,hard
62,3878,1630,254,1400,1300,0,0,2170,608,783,268,1850,0,33,1,protoss,hard
63,3944,1663,264,1400,1300,0,0,2220,624,783,268,2100,0,33,1,protoss,hard
64,4001,1694,277,1450,1300,0,0,2265,636,839,246,2200,0,33,1,protoss,hard
65,4057,1729,292,1500,1300,0,0,2305,652,755,246,2200,0,33,1,protoss,hard
66,4123,1764,309,1650,1300,0,0,2355,668,755,246,2200,0,33,1,protoss,hard
67,4194,1810,333,1700,1300,0,0,2410,684,811,268,2200,0,33,1,protoss,hard
68,4256,1856,358,1800,1300,0,0,2460,696,867,246,2350,50,33,1,protoss,hard
69,4317,1896,383,1900,1300,0,0,2505,712,839,246,2350,50,33,1,protoss,hard
70,4388,1945,408,1900,1300,0,0,2560,728,839,223,2450,50,33,1,protoss,hard
71,4460,1990,433,1900,1300,0,0,2620,740,895,246,2525,75,33,1,protoss,hard
72,4531,2027,458,1900,1300,0,0,2675,756,951,246,2675,125,33,1,protoss,hard
