,score,idle_production_time,idle_worker_time,total_value_units,total_value_structures,killed_value_units,killed_value_structures,collected_minerals,collected_vespene,collection_rate_minerals,collection_rate_vespene,spent_minerals,spent_vespene,number_roaches,result,race,difficulty
1,1100,17,0,700,300,0,0,0,0,0,0,50,0,19,1,terran,hard
2,1125,37,0,700,300,0,0,25,0,221,0,50,0,19,1,terran,hard
3,1160,54,0,700,300,0,0,60,0,347,0,100,0,19,1,terran,hard
4,1220,69,0,750,300,0,0,120,0,671,0,100,0,19,1,terran,hard
5,1250,84,0,750,300,0,0,150,0,699,0,100,0,19,1,terran,hard
6,1260,102,0,800,300,0,0,185,0,699,0,225,0,19,1,terran,hard
7,1340,116,0,800,300,0,0,240,0,671,0,275,0,19,1,terran,hard
8,1385,126,0,800,300,0,0,285,0,755,0,275,0,19,1,terran,hard
9,1425,136,0,800,300,0,0,325,0,783,0,275,0,19,1,terran,hard
10,1465,151,0,800,300,0,0,365,0,699,0,275,0,19,1,terran,hard
11,1510,166,0,950,300,0,0,410,0,699,0,325,0,19,1,terran,hard
12,1555,171,0,950,300,0,0,455,0,727,0,425,0,19,1,terran,hard
13,1595,176,0,950,325,0,0,495,0,727,0,425,0,19,1,terran,hard
14,1644,181,0,950,325,0,0,540,4,727,22,425,0,19,1,terran,hard
15,1687,186,0,1050,325,0,0,575,12,671,67,475,0,19,1,terran,hard
16,1740,191,0,1100,325,0,0,620,20,699,111,475,0,19,1,terran,hard
17,1608,196,0,1100,325,0,0,680,28,783,134,675,0,19,1,terran,hard
18,1847,201,0,1100,325,0,0,715,32,783,111,725,0,19,1,terran,hard
19,1900,206,0,1150,325,0,0,760,40,783,111,725,0,19,1,terran,hard
20,1963,211,0,1150,325,0,0,815,48,755,111,725,0,19,1,terran,hard
21,2016,216,0,1150,325,0,0,860,56,811,134,775,0,19,1,terran,hard
22,2079,221,0,1200,325,0,0,915,64,867,134,775,0,19,1,terran,hard
23,2137,226,0,1200,325,0,0,965,72,839,134,775,0,19,1,terran,hard
24,2195,231,0,1200,325,0,0,1015,80,867,134,825,0,19,1,terran,hard
25,2254,236,0,1250,325,0,0,1070,84,867,111,825,0,19,1,terran,hard
26,2002,241,0,1250,325,0,0,1135,92,951,111,1150,0,19,1,terran,hard
27,2040,246,0,1250,325,0,0,1165,100,839,111,1175,0,19,1,terran,hard
28,2128,252,5,1300,325,0,0,1220,108,839,134,1200,0,19,1,terran,hard
29,2482,257,10,1300,325,0,0,1270,112,755,111,1200,0,19,1,terran,hard
30,2535,262,15,1300,325,0,0,1315,120,839,111,1200,0,19,1,terran,hard
31,2448,272,20,1350,525,0,0,1370,128,839,111,1400,0,19,1,terran,hard
32,2651,282,25,1350,525,0,0,1415,136,811,134,1400,0,19,1,terran,hard
33,2704,292,30,1350,550,0,0,1460,144,811,134,1450,0,19,1,terran,hard
34,2757,302,35,1400,550,0,0,1505,152,755,134,1450,0,19,1,terran,hard
35,2818,312,40,1400,550,0,0,1550,168,755,179,1450,0,19,1,terran,hard
36,2870,322,45,1400,550,0,0,1590,180,727,201,1500,0,19,1,terran,hard
37,2941,332,50,1450,550,0,0,1645,196,783,246,1500,0,19,1,terran,hard
38,2997,342,55,1450,550,0,0,1685,212,727,246,1500,0,19,1,terran,hard
39,3064,352,60,1450,550,0,0,1740,224,839,246,1550,0,19,1,terran,hard
40,3126,362,65,1500,550,0,0,1790,236,811,223,1550,0,19,1,terran,hard
41,2892,372,70,1500,550,0,0,1840,252,895,223,1850,0,19,1,terran,hard
42,3253,382,75,1500,550,0,0,1885,268,811,246,1900,0,19,1,terran,hard
43,3339,396,80,1550,700,0,0,1955,284,923,268,1900,0,19,1,terran,hard
44,3386,411,85,1550,700,0,0,1990,296,839,246,1900,0,19,1,terran,hard
45,3462,427,90,1550,700,0,0,2050,312,923,246,1900,0,19,1,terran,hard
46,3523,447,95,1600,700,0,0,2095,328,783,246,1900,0,19,1,terran,hard
47,3600,467,100,1600,700,0,0,2160,340,951,246,1900,0,19,1,terran,hard
48,3666,487,105,1600,700,0,0,2210,356,895,246,1900,0,19,1,terran,hard
49,3732,513,110,1600,1000,0,0,2260,372,923,246,2050,0,19,1,terran,hard
50,3799,533,115,1600,1000,0,0,2315,384,867,246,2050,0,19,1,terran,hard
51,3881,553,120,1600,1000,0,0,2385,396,923,223,2150,0,19,1,terran,hard
52,3942,577,125,1700,1000,0,0,2430,412,951,223,2150,0,19,1,terran,hard
53,4008,600,134,1750,1000,0,0,2480,428,923,246,2200,0,19,1,terran,hard
54,4094,620,144,1750,1000,0,0,2550,444,979,268,2200,0,19,1,terran,hard
55,4146,642,154,1750,1000,0,0,2590,456,895,246,2375,25,19,1,terran,hard
56,4222,662,164,1900,1000,0,0,2650,472,951,246,2375,25,19,1,terran,hard
57,4298,682,179,1900,1000,0,0,2710,488,895,246,2450,50,19,1,terran,hard
58,4375,705,194,1900,1000,0,0,2775,500,1035,246,2525,75,19,1,terran,hard
59,4446,725,209,1900,1000,0,0,2830,516,979,246,2525,75,19,1,terran,hard
60,4527,745,224,2100,1000,0,0,2895,532,1035,246,2525,75,19,1,terran,hard
61,4599,767,239,2100,1000,0,0,2955,544,1007,246,2700,100,19,1,terran,hard
62,4671,793,254,2100,1300,0,0,3015,556,1063,223,2775,125,19,1,terran,hard
63,4747,818,269,2200,1300,0,0,3075,572,1007,223,2850,150,19,1,terran,hard
64,4833,846,284,2300,1300,0,0,3145,588,1035,246,2925,175,19,1,terran,hard
65,4904,872,299,2400,1300,0,0,3200,604,1035,268,3000,200,19,1,terran,hard
66,4981,897,314,2400,1300,0,0,3265,616,1063,246,3075,225,19,1,terran,hard
67,5052,925,329,2600,1300,0,0,3320,632,979,246,3075,225,19,1,terran,hard
68,5138,952,344,2600,1300,0,0,3390,648,1063,246,3250,250,19,1,terran,hard
69,5210,977,359,2700,1300,0,0,3450,660,1035,246,3325,275,19,1,terran,hard
70,5276,1003,374,2900,1300,0,0,3500,676,1035,246,3400,300,19,1,terran,hard
71,5357,1029,389,2900,1300,0,0,3565,692,979,246,3475,325,19,1,terran,hard
72,5434,1054,404,3000,1300,0,0,3630,704,1007,246,3475,325,19,1,terran,hard
73,5506,1080,419,3200,1300,0,0,3690,716,1063,223,3650,350,19,1,terran,hard
74,5582,1109,434,3200,1300,0,0,3750,732,1035,223,3650,350,19,1,terran,hard
75,5663,1135,448,3400,1300,0,0,3815,748,1035,246,3725,375,19,1,terran,hard
76,5734,1160,463,3500,1300,0,0,3870,764,1007,268,3875,425,19,1,terran,hard
77,5811,1188,478,3500,1300,0,0,3935,776,1035,246,3950,450,19,1,terran,hard
78,5892,1213,493,3700,1300,0,0,4000,792,1035,246,3950,450,19,1,terran,hard
79,5968,1242,508,3700,1300,0,0,4060,808,1063,246,4050,450,19,1,terran,hard
80,6035,1274,523,3800,1300,0,0,4115,820,1007,246,4125,475,19,1,terran,hard
81,6121,1304,538,4000,1300,0,0,4185,836,1035,246,4125,475,19,1,terran,hard
82,6187,1343,553,4100,1300,0,0,4235,852,951,246,4125,475,19,1,terran,hard
83,6264,1383,568,4100,1300,0,0,4300,864,1035,246,4200,500,19,1,terran,hard
84,6341,1424,583,4200,1300,0,0,4365,876,1007,223,4200,500,19,1,terran,hard
85,6407,1472,598,4300,1300,0,0,4415,892,1035,223,4200,500,19,1,terran,hard
86,6493,1525,613,4300,1300,0,0,4485,908,1007,246,4275,525,19,1,terran,hard
87,6574,1576,628,4300,1300,0,0,4550,924,1007,268,4275,525,19,1,terran,hard
88,6641,1634,643,4400,1300,0,0,4605,936,1063,246,4275,525,19,1,terran,hard
89,6722,1689,655,4400,1300,50,0,4670,952,1063,246,4350,550,19,1,terran,hard
90,6798,1745,670,4400,1300,50,0,4730,968,1035,246,4350,550,19,1,terran,hard
91,6870,1805,685,4400,1300,50,0,4790,980,1035,246,4350,550,19,1,terran,hard
92,6856,1870,700,4500,1300,50,0,4860,996,1063,246,4350,550,19,1,terran,hard
93,6727,1935,715,4500,1300,100,0,4915,1012,1035,246,4425,575,19,1,terran,hard
94,6799,1996,730,4600,1300,575,0,4975,1024,1035,246,4500,600,19,1,terran,hard
95,6676,2055,745,4600,1300,625,0,5040,1036,1007,223,4575,625,19,1,terran,hard
96,6752,2111,760,4600,1300,625,0,5100,1052,1035,223,4575,625,19,1,terran,hard
97,6623,2162,775,4600,1300,1000,0,5155,1068,1007,246,4900,700,19,1,terran,hard
98,6704,2205,790,4600,1300,1375,0,5220,1084,1007,268,4975,725,19,1,terran,hard
99,6781,2239,805,4800,1300,1775,0,5285,1096,1007,246,5200,800,19,1,terran,hard
100,6762,2277,820,4800,1300,2000,0,5350,1112,1035,246,5200,800,19,1,terran,hard
101,6833,2317,835,4900,1300,2150,0,5405,1128,1035,246,5200,800,19,1,terran,hard
102,6905,2351,850,5200,1300,2350,0,5465,1140,1035,246,5350,850,19,1,terran,hard
103,6981,2389,864,5300,1300,2750,0,5525,1156,1035,246,5525,875,19,1,terran,hard
104,7062,2422,879,5500,1300,3050,0,5590,1172,1035,246,5600,900,19,1,terran,hard
105,7134,2452,892,5700,1300,3050,125,5650,1184,1007,246,5600,900,19,1,terran,hard
106,7201,2496,907,5700,1300,3050,200,5705,1196,1007,223,5600,900,19,1,terran,hard
107,7282,2541,922,5900,1300,3200,300,5770,1212,1007,223,5600,900,19,1,terran,hard
108,7358,2586,937,6000,1300,3325,300,5830,1228,1035,246,5600,900,19,1,terran,hard
109,7434,2644,952,6100,1300,3325,300,5890,1244,1035,268,5600,900,19,1,terran,hard
110,7511,2704,967,6200,1300,3375,300,5955,1256,1035,246,5600,900,19,1,terran,hard
111,7592,2764,982,6200,1300,3475,300,6020,1272,1063,246,5600,900,19,1,terran,hard
112,7668,2833,997,6200,1300,3525,300,6080,1288,1007,246,5600,900,19,1,terran,hard
113,7735,2903,1012,6200,1300,3625,400,6135,1300,1007,246,5600,900,19,1,terran,hard
114,7821,2973,1027,6200,1300,3625,500,6205,1316,1035,246,5600,900,19,1,terran,hard
115,7902,3043,1042,6200,1300,3625,800,6270,1332,1119,246,5600,900,19,1,terran,hard
