,score,idle_production_time,idle_worker_time,total_value_units,total_value_structures,killed_value_units,killed_value_structures,collected_minerals,collected_vespene,collection_rate_minerals,collection_rate_vespene,spent_minerals,spent_vespene,number_roaches,result,race,difficulty
1,1100,17,0,700,300,0,0,0,0,0,0,50,0,5,-1,terran,hard
2,1125,37,0,700,300,0,0,25,0,176,0,50,0,5,-1,terran,hard
3,1160,55,0,700,300,0,0,60,0,347,0,100,0,5,-1,terran,hard
4,1220,70,0,750,300,0,0,120,0,671,0,100,0,5,-1,terran,hard
5,1250,85,0,750,300,0,0,150,0,727,0,100,0,5,-1,terran,hard
6,1260,102,0,800,300,0,0,185,0,699,0,125,0,5,-1,terran,hard
7,1335,121,0,800,300,0,0,235,0,643,0,175,0,5,-1,terran,hard
8,1370,136,0,800,300,0,0,270,0,671,0,175,0,5,-1,terran,hard
9,1420,151,0,800,300,0,0,320,0,755,0,175,0,5,-1,terran,hard
10,1265,167,0,800,300,0,0,365,0,727,0,375,0,5,-1,terran,hard
11,1500,186,0,850,300,0,0,400,0,727,0,425,0,5,-1,terran,hard
12,1545,201,0,850,300,0,0,445,0,699,0,425,0,5,-1,terran,hard
13,1590,216,0,850,325,0,0,490,0,699,0,425,0,5,-1,terran,hard
14,1624,232,0,850,325,0,0,520,4,671,22,425,0,5,-1,terran,hard
15,1672,252,0,900,325,0,0,560,12,643,67,425,0,5,-1,terran,hard
16,1720,272,0,900,325,0,0,600,20,615,111,425,0,5,-1,terran,hard
17,1768,292,0,900,325,0,0,640,28,643,111,425,0,5,-1,terran,hard
18,1817,312,0,900,325,0,0,685,32,699,111,425,0,5,-1,terran,hard
19,1555,332,0,900,325,0,0,715,40,643,111,725,0,5,-1,terran,hard
20,1598,352,0,900,325,0,0,750,48,643,134,750,0,5,-1,terran,hard
21,1941,367,0,900,325,0,0,785,56,559,134,800,0,5,-1,terran,hard
22,1984,379,0,900,325,0,0,820,64,587,134,850,0,5,-1,terran,hard
23,2032,389,0,900,325,0,0,860,72,615,134,850,0,5,-1,terran,hard
24,2066,406,0,950,525,0,0,890,76,587,111,850,0,5,-1,terran,hard
25,2104,426,0,1000,525,0,0,920,84,559,111,850,0,5,-1,terran,hard
26,2152,446,0,1000,550,0,0,960,92,559,111,850,0,5,-1,terran,hard
27,2195,471,0,1000,550,0,0,995,100,587,134,1000,0,5,-1,terran,hard
28,2236,492,0,1000,550,0,0,1020,116,559,179,1050,0,5,-1,terran,hard
29,2287,512,0,1000,550,0,0,1055,132,531,201,1050,0,5,-1,terran,hard
30,2329,532,0,1000,550,0,0,1085,144,503,246,1050,0,5,-1,terran,hard
31,2371,556,0,1050,550,0,0,1115,156,531,223,1050,0,5,-1,terran,hard
32,2422,581,0,1050,550,0,0,1150,172,531,246,1050,0,5,-1,terran,hard
33,2463,606,0,1050,550,0,0,1175,188,503,246,1050,0,5,-1,terran,hard
34,2510,631,0,1050,550,0,0,1210,200,531,246,1050,0,5,-1,terran,hard
35,2562,656,0,1050,550,0,0,1250,212,559,223,1050,0,5,-1,terran,hard
36,2613,681,0,1050,550,0,0,1285,228,615,223,1050,0,5,-1,terran,hard
37,2354,706,0,1050,550,0,0,1310,244,559,246,1350,0,5,-1,terran,hard
38,2710,733,0,1050,700,0,0,1350,260,531,268,1350,0,5,-1,terran,hard
39,2761,758,0,1050,700,0,0,1385,276,559,268,1400,0,5,-1,terran,hard
40,2802,783,0,1050,700,0,0,1410,292,559,268,1400,0,5,-1,terran,hard
41,2844,809,0,1050,1000,0,0,1440,304,531,246,1400,0,5,-1,terran,hard
42,2891,841,0,1100,1000,0,0,1475,316,503,223,1500,0,5,-1,terran,hard
43,2937,871,0,1100,1000,0,0,1505,332,531,223,1500,0,5,-1,terran,hard
44,2983,896,0,1100,1000,0,0,1535,348,531,246,1550,0,5,-1,terran,hard
45,3040,928,0,1200,1000,0,0,1580,360,587,246,1600,0,5,-1,terran,hard
46,3072,957,0,1200,1000,0,0,1600,372,531,223,1650,0,5,-1,terran,hard
47,3133,983,0,1250,1000,0,0,1645,388,615,223,1650,0,5,-1,terran,hard
48,3189,1014,0,1300,1000,0,0,1685,404,587,246,1700,0,5,-1,terran,hard
49,3240,1044,0,1300,1000,0,0,1720,420,671,268,1700,0,5,-1,terran,hard
50,3306,1074,4,1350,1000,0,0,1770,436,699,268,1700,0,5,-1,terran,hard
51,3377,1114,9,1400,1000,0,0,1825,452,783,268,1700,0,5,-1,terran,hard
52,3429,1154,14,1400,1000,0,0,1865,464,811,246,1700,0,5,-1,terran,hard
53,3491,1194,19,1400,1000,0,0,1915,476,811,223,1700,0,5,-1,terran,hard
54,3567,1238,24,1400,1000,0,0,1975,492,839,223,1700,0,5,-1,terran,hard
55,3628,1283,29,1400,1000,0,0,2020,508,867,246,1700,0,5,-1,terran,hard
56,3695,1328,34,1400,1000,0,0,2075,520,895,246,1700,0,5,-1,terran,hard
57,3752,1378,39,1400,1000,0,0,2120,532,783,223,1700,0,5,-1,terran,hard
58,3823,1428,44,1400,1300,0,0,2175,548,867,223,1700,0,5,-1,terran,hard
59,3894,1471,49,1400,1300,0,0,2230,564,867,246,2000,0,5,-1,terran,hard
60,3955,1499,54,1400,1300,0,0,2275,580,895,268,2100,0,5,-1,terran,hard
61,4026,1524,59,1400,1300,0,0,2330,596,867,268,2100,0,5,-1,terran,hard
62,4102,1563,65,1600,1300,0,0,2390,612,895,268,2100,0,5,-1,terran,hard
63,4149,1598,83,1700,1300,0,0,2425,624,839,246,2200,0,5,-1,terran,hard
64,4221,1633,103,1700,1300,0,0,2485,636,839,223,2200,0,5,-1,terran,hard
65,4297,1680,123,1800,1300,0,0,2545,652,839,223,2350,50,5,-1,terran,hard
66,4363,1712,143,1800,1300,0,0,2595,668,923,246,2525,75,5,-1,terran,hard
67,4425,1742,163,1900,1300,0,0,2645,680,923,246,2600,100,5,-1,terran,hard
68,4497,1776,183,1900,1300,0,0,2705,692,923,223,2675,125,5,-1,terran,hard
69,4563,1806,203,1900,1300,0,0,2755,708,923,223,2750,150,5,-1,terran,hard
70,4634,1834,223,1900,1300,0,0,2810,724,923,246,2850,150,5,-1,terran,hard
71,4710,1873,243,2300,1300,0,0,2870,740,923,268,2850,150,5,-1,terran,hard
72,4786,1910,263,2300,1300,0,0,2930,756,979,268,2925,175,5,-1,terran,hard
73,4857,1943,283,2500,1300,0,0,2985,772,979,268,3000,200,5,-1,terran,hard
74,4924,1985,303,2600,1300,0,0,3040,784,951,246,3075,225,5,-1,terran,hard
75,4996,2025,323,2700,1300,0,0,3100,796,951,223,3075,225,5,-1,terran,hard
