,score,idle_production_time,idle_worker_time,total_value_units,total_value_structures,killed_value_units,killed_value_structures,collected_minerals,collected_vespene,collection_rate_minerals,collection_rate_vespene,spent_minerals,spent_vespene,number_roaches,result,race,difficulty
1,1100,17,0,700,300,0,0,0,0,0,0,50,0,14,1,zerg,hard
2,1125,37,0,700,300,0,0,25,0,221,0,50,0,14,1,zerg,hard
3,1160,54,0,700,300,0,0,60,0,347,0,100,0,14,1,zerg,hard
4,1220,69,0,750,300,0,0,120,0,671,0,100,0,14,1,zerg,hard
5,1250,84,0,750,300,0,0,150,0,699,0,100,0,14,1,zerg,hard
6,1260,102,0,800,300,0,0,185,0,699,0,225,0,14,1,zerg,hard
7,1340,116,0,800,300,0,0,240,0,671,0,275,0,14,1,zerg,hard
8,1380,126,0,800,300,0,0,280,0,727,0,275,0,14,1,zerg,hard
9,1420,136,0,800,300,0,0,320,0,755,0,275,0,14,1,zerg,hard
10,1460,151,0,800,300,0,0,360,0,671,0,275,0,14,1,zerg,hard
11,1505,166,0,950,300,0,0,405,0,699,0,325,0,14,1,zerg,hard
12,1550,171,0,950,300,0,0,450,0,727,0,425,0,14,1,zerg,hard
13,1595,176,0,950,325,0,0,495,0,755,0,425,0,14,1,zerg,hard
14,1638,181,0,950,325,0,0,530,8,699,44,425,0,14,1,zerg,hard
15,1686,186,0,1050,325,0,0,570,16,671,89,475,0,14,1,zerg,hard
16,1730,191,0,1100,325,0,0,610,20,643,111,475,0,14,1,zerg,hard
17,1593,196,0,1100,325,0,0,665,28,755,111,675,0,14,1,zerg,hard
18,1846,201,0,1100,325,0,0,710,36,783,111,725,0,14,1,zerg,hard
19,1889,206,0,1150,325,0,0,745,44,755,134,725,0,14,1,zerg,hard
20,1948,211,0,1150,325,0,0,800,48,755,111,725,0,14,1,zerg,hard
21,2001,216,0,1150,325,0,0,845,56,727,111,775,0,14,1,zerg,hard
22,2059,221,0,1200,325,0,0,895,64,839,111,775,0,14,1,zerg,hard
23,2117,226,0,1200,325,0,0,945,72,811,134,775,0,14,1,zerg,hard
24,2170,231,0,1200,325,0,0,990,80,839,134,825,0,14,1,zerg,hard
25,2233,236,0,1250,325,0,0,1045,88,839,134,825,0,14,1,zerg,hard
26,2001,241,0,1250,325,0,0,1105,96,895,134,1125,0,14,1,zerg,hard
27,2020,246,0,1250,325,0,0,1145,100,867,111,1150,0,14,1,zerg,hard
28,2103,252,0,1300,325,0,0,1195,108,839,111,1200,0,14,1,zerg,hard
29,2476,257,0,1300,325,0,0,1260,116,867,111,1200,0,14,1,zerg,hard
30,2519,262,0,1300,325,0,0,1295,124,839,134,1250,0,14,1,zerg,hard
31,2588,269,0,1350,525,0,0,1360,128,923,111,1250,0,14,1,zerg,hard
32,2496,279,0,1350,525,0,0,1410,136,839,111,1400,0,14,1,zerg,hard
33,2704,289,0,1350,525,0,0,1460,144,923,111,1450,0,14,1,zerg,hard
34,2767,299,0,1400,550,0,0,1515,152,867,134,1450,0,14,1,zerg,hard
35,2828,309,0,1400,550,0,0,1560,168,811,179,1450,0,14,1,zerg,hard
36,2894,319,0,1400,550,0,0,1610,184,839,223,1500,0,14,1,zerg,hard
