,score,idle_production_time,idle_worker_time,total_value_units,total_value_structures,killed_value_units,killed_value_structures,collected_minerals,collected_vespene,collection_rate_minerals,collection_rate_vespene,spent_minerals,spent_vespene,number_roaches,result,race,difficulty
1,1100,17,0,700,300,0,0,0,0,0,0,50,0,14,0,protoss,hard
2,1125,37,0,700,300,0,0,25,0,176,0,50,0,14,0,protoss,hard
3,1160,56,0,700,300,0,0,60,0,347,0,100,0,14,0,protoss,hard
4,1220,71,0,750,300,0,0,120,0,671,0,100,0,14,0,protoss,hard
5,1250,86,0,750,300,0,0,150,0,727,0,100,0,14,0,protoss,hard
6,1285,102,0,750,300,0,0,185,0,699,0,100,0,14,0,protoss,hard
7,1340,119,0,800,300,0,0,240,0,671,0,225,0,14,0,protoss,hard
8,1375,129,0,800,300,0,0,275,0,699,0,275,0,14,0,protoss,hard
9,1420,139,0,800,300,0,0,320,0,755,0,275,0,14,0,protoss,hard
10,1465,152,0,800,300,0,0,365,0,699,0,275,0,14,0,protoss,hard
11,1505,167,0,850,300,0,0,405,0,727,0,275,0,14,0,protoss,hard
12,1545,176,0,950,300,0,0,445,0,699,0,375,0,14,0,protoss,hard
13,1595,183,0,950,325,0,0,495,0,727,0,425,0,14,0,protoss,hard
14,1630,188,0,950,325,0,0,530,0,699,0,425,0,14,0,protoss,hard
15,1678,193,0,1050,325,0,0,570,8,699,44,425,0,14,0,protoss,hard
16,1526,201,0,1050,325,0,0,610,16,643,89,625,0,14,0,protoss,hard
17,1774,209,0,1100,325,0,0,650,24,671,134,675,0,14,0,protoss,hard
18,1828,214,0,1100,325,0,0,700,28,727,111,675,0,14,0,protoss,hard
19,1876,219,0,1100,325,0,0,740,36,699,111,725,0,14,0,protoss,hard
20,1929,224,0,1150,325,0,0,785,44,755,111,725,0,14,0,protoss,hard
21,1977,229,0,1150,325,0,0,825,52,699,134,725,0,14,0,protoss,hard
22,2036,235,0,1200,325,0,0,880,56,811,111,775,0,14,0,protoss,hard
23,2094,240,0,1200,325,0,0,930,64,811,111,775,0,14,0,protoss,hard
24,2147,245,0,1200,325,0,0,975,72,811,111,775,0,14,0,protoss,hard
25,2215,250,0,1250,325,0,0,1035,80,867,134,825,0,14,0,protoss,hard
26,1978,255,0,1250,325,0,0,1090,88,895,134,1125,0,14,0,protoss,hard
27,2011,260,0,1250,325,0,0,1140,96,951,134,1150,0,14,0,protoss,hard
28,2064,267,0,1300,325,0,0,1185,104,839,134,1225,0,14,0,protoss,hard
29,2448,272,4,1300,325,0,0,1240,108,839,111,1200,0,14,0,protoss,hard
30,2501,281,9,1300,525,0,0,1285,116,811,111,1200,0,14,0,protoss,hard
31,2404,295,14,1300,525,0,0,1330,124,811,111,1350,0,14,0,protoss,hard
32,2612,309,19,1350,525,0,0,1380,132,755,134,1400,0,14,0,protoss,hard
33,2671,319,24,1350,525,0,0,1435,136,839,111,1400,0,14,0,protoss,hard
34,2724,329,27,1350,550,0,0,1480,144,811,111,1450,0,14,0,protoss,hard
35,2780,339,27,1350,550,0,0,1520,160,783,156,1450,0,14,0,protoss,hard
36,2846,349,27,1400,550,0,0,1570,176,755,223,1450,0,14,0,protoss,hard
37,2903,361,27,1450,550,0,0,1615,188,783,246,1500,0,14,0,protoss,hard
38,2969,371,27,1450,550,0,0,1665,204,839,246,1500,0,14,0,protoss,hard
39,3040,381,27,1450,550,0,0,1720,220,839,246,1500,0,14,0,protoss,hard
40,3097,391,27,1450,550,0,0,1765,232,839,246,1550,0,14,0,protoss,hard
41,2873,401,27,1500,550,0,0,1825,248,895,246,1850,0,14,0,protoss,hard
42,3230,411,27,1500,550,0,0,1870,260,839,223,1850,0,14,0,protoss,hard
43,3301,425,27,1550,700,0,0,1925,276,895,246,1900,0,14,0,protoss,hard
44,3363,440,27,1550,700,0,0,1975,288,839,223,1900,0,14,0,protoss,hard
45,3444,455,27,1550,700,0,0,2040,304,951,246,1900,0,14,0,protoss,hard
46,3500,473,27,1550,700,0,0,2080,320,867,246,1900,0,14,0,protoss,hard
47,3581,493,27,1600,700,0,0,2145,336,951,268,1900,0,14,0,protoss,hard
48,3652,513,27,1600,700,0,0,2200,352,895,246,1900,0,14,0,protoss,hard
49,3724,543,27,1600,1000,0,0,2260,364,979,246,1900,0,14,0,protoss,hard
50,3795,575,27,1600,1000,0,0,2315,380,951,246,1950,0,14,0,protoss,hard
51,3872,601,27,1600,1000,0,0,2380,392,1007,246,2000,0,14,0,protoss,hard
52,3943,622,27,1600,1000,0,0,2435,408,1007,246,2200,0,14,0,protoss,hard
53,4019,642,27,1650,1000,0,0,2495,424,1007,246,2200,0,14,0,protoss,hard
54,4095,662,27,1700,1000,0,0,2555,440,979,268,2200,0,14,0,protoss,hard
55,4162,682,29,1800,1000,0,0,2610,452,979,223,2375,25,14,0,protoss,hard
56,4244,702,34,1800,1000,0,0,2680,464,1035,223,2375,25,14,0,protoss,hard
57,4315,722,39,1900,1000,0,0,2735,480,979,223,2375,25,14,0,protoss,hard
58,4391,745,44,1900,1000,0,0,2795,496,1035,268,2525,75,14,0,protoss,hard
59,4477,765,49,1900,1000,0,0,2865,512,1035,246,2525,75,14,0,protoss,hard
60,4544,785,54,2100,1000,0,0,2920,524,1063,246,2525,75,14,0,protoss,hard
61,4610,811,59,2100,1000,0,0,2970,540,979,246,2700,100,14,0,protoss,hard
62,4692,832,64,2100,1300,0,0,3040,552,979,246,2700,100,14,0,protoss,hard
63,4773,857,69,2200,1300,0,0,3105,568,1035,246,2775,125,14,0,protoss,hard
64,4854,889,74,2300,1300,0,0,3170,584,1119,246,2775,125,14,0,protoss,hard
65,4920,919,79,2300,1300,0,0,3220,600,1007,268,2925,175,14,0,protoss,hard
66,5012,949,84,2400,1300,0,0,3300,612,1091,223,2925,175,14,0,protoss,hard
67,5084,985,89,2500,1300,0,0,3360,624,1063,223,3000,200,14,0,protoss,hard
68,5160,1015,94,2600,1300,0,0,3420,640,1119,223,3075,225,14,0,protoss,hard
69,5231,1047,99,2600,1300,0,0,3475,656,979,268,3150,250,14,0,protoss,hard
70,5317,1075,104,2800,1300,0,0,3545,672,1035,246,3400,300,14,0,protoss,hard
71,5399,1101,109,2800,1300,0,0,3615,684,1063,246,3400,300,14,0,protoss,hard
72,5475,1127,114,2800,1300,50,0,3675,700,1119,246,3475,325,14,0,protoss,hard
73,5542,1156,119,3000,1300,50,0,3730,712,1035,246,3550,350,14,0,protoss,hard
74,5633,1186,124,3100,1300,50,0,3805,728,1091,246,3550,350,14,0,protoss,hard
75,5714,1220,129,3400,1300,50,0,3870,744,1063,246,3650,350,14,0,protoss,hard
76,5795,1257,134,3400,1300,50,0,3935,760,1147,268,3650,350,14,0,protoss,hard
77,5867,1298,139,3500,1300,50,0,3995,772,1035,223,3650,350,14,0,protoss,hard
78,5949,1332,144,3600,1300,50,0,4065,784,1119,223,3875,425,14,0,protoss,hard
79,6025,1368,149,3600,1300,50,0,4125,800,1063,223,3875,425,14,0,protoss,hard
80,6111,1409,154,3700,1300,50,0,4195,816,1119,268,3875,425,14,0,protoss,hard
81,6187,1453,159,3700,1300,50,0,4255,832,1063,246,3950,450,14,0,protoss,hard
82,6274,1500,164,3700,1300,50,0,4330,844,1147,246,3950,450,14,0,protoss,hard
83,6350,1547,168,4000,1300,50,0,4390,860,1119,246,4050,450,14,0,protoss,hard
84,6422,1597,172,4000,1300,50,0,4450,872,1091,246,4050,450,14,0,protoss,hard
85,6508,1653,177,4000,1300,50,0,4520,888,1063,246,4050,450,14,0,protoss,hard
86,6399,1714,182,4000,1300,200,0,4595,904,1147,246,4050,450,14,0,protoss,hard
87,6275,1779,187,4100,1300,475,0,4655,920,1147,268,4050,450,14,0,protoss,hard
88,6242,1844,192,4200,1300,625,0,4710,932,1063,223,4125,475,14,0,protoss,hard
89,6229,1909,197,4200,1300,875,0,4785,944,1063,223,4125,475,14,0,protoss,hard
90,6305,1966,202,4200,1300,875,0,4845,960,1063,223,4275,525,14,0,protoss,hard
91,6391,2022,207,4200,1300,1050,0,4915,976,1147,268,4350,550,14,0,protoss,hard
92,6467,2072,212,4200,1300,1050,0,4975,992,1063,246,4425,575,14,0,protoss,hard
93,6549,2114,217,4300,1300,1050,0,5045,1004,1119,246,4650,650,14,0,protoss,hard
94,6630,2154,222,4300,1300,1275,0,5110,1020,1091,246,4800,700,14,0,protoss,hard
95,6712,2189,227,4500,1300,1425,0,5180,1032,1147,246,4800,700,14,0,protoss,hard
96,6788,2232,232,4600,1300,1675,0,5240,1048,1091,246,4800,700,14,0,protoss,hard
97,6874,2280,237,4700,1300,1925,100,5310,1064,1119,246,4800,700,14,0,protoss,hard
98,6955,2330,242,5000,1300,2025,100,5375,1080,1063,268,4800,700,14,0,protoss,hard
99,7027,2388,245,5100,1300,2275,100,5435,1092,1091,223,4800,700,14,0,protoss,hard
100,7104,2451,250,5200,1300,2375,100,5500,1104,1063,223,4800,700,14,0,protoss,hard
101,7195,2516,255,5200,1300,2525,100,5575,1120,1147,223,4800,700,14,0,protoss,hard
102,7271,2584,260,5200,1300,2525,200,5635,1136,1119,268,4800,700,14,0,protoss,hard
103,7347,2654,265,5200,1300,2625,350,5695,1152,1063,246,4900,700,14,0,protoss,hard
104,7429,2717,270,5200,1300,2750,600,5765,1164,1063,246,4975,725,14,0,protoss,hard
105,7510,2774,275,5200,1300,2750,775,5830,1180,1063,246,5050,750,14,0,protoss,hard
106,7592,2829,280,5200,1300,2750,775,5900,1192,1175,246,5050,750,14,0,protoss,hard
107,7663,2887,285,5200,1300,2800,775,5955,1208,1063,246,5200,800,14,0,protoss,hard
108,7754,2940,290,5300,1300,2800,775,6030,1224,1147,246,5375,825,14,0,protoss,hard
109,7830,2990,295,5300,1300,2900,775,6090,1240,1063,268,5450,850,14,0,protoss,hard
110,7917,3039,300,5500,1300,2900,900,6165,1252,1175,223,5450,850,14,0,protoss,hard
