,score,idle_production_time,idle_worker_time,total_value_units,total_value_structures,killed_value_units,killed_value_structures,collected_minerals,collected_vespene,collection_rate_minerals,collection_rate_vespene,spent_minerals,spent_vespene,number_roaches,result,race,difficulty
1,1100,17,0,700,300,0,0,0,0,0,0,50,0,24,-1,protoss,hard
2,1125,37,0,700,300,0,0,25,0,176,0,50,0,24,-1,protoss,hard
3,1160,55,0,700,300,0,0,60,0,347,0,100,0,24,-1,protoss,hard
4,1220,70,0,750,300,0,0,120,0,671,0,100,0,24,-1,protoss,hard
5,1250,85,0,750,300,0,0,150,0,727,0,100,0,24,-1,protoss,hard
6,1260,102,0,800,300,0,0,185,0,699,0,125,0,24,-1,protoss,hard
7,1335,121,0,800,300,0,0,235,0,643,0,175,0,24,-1,protoss,hard
8,1375,136,0,800,300,0,0,275,0,699,0,175,0,24,-1,protoss,hard
9,1415,151,0,800,300,0,0,315,0,727,0,175,0,24,-1,protoss,hard
10,1265,167,0,800,300,0,0,365,0,727,0,375,0,24,-1,protoss,hard
11,1505,186,0,850,300,0,0,405,0,727,0,425,0,24,-1,protoss,hard
12,1535,201,0,850,300,0,0,435,0,671,0,425,0,24,-1,protoss,hard
13,1585,216,0,850,325,0,0,485,0,671,0,425,0,24,-1,protoss,hard
14,1619,232,0,850,325,0,0,515,4,615,0,425,0,24,-1,protoss,hard
15,1663,252,0,900,325,0,0,555,8,643,44,425,0,24,-1,protoss,hard
16,1706,272,0,900,325,0,0,590,16,587,89,425,0,24,-1,protoss,hard
17,1754,292,0,900,325,0,0,630,24,615,134,425,0,24,-1,protoss,hard
18,1797,312,0,900,325,0,0,665,32,643,134,425,0,24,-1,protoss,hard
19,1550,332,0,900,325,0,0,710,40,671,134,725,0,24,-1,protoss,hard
20,1568,352,0,900,325,0,0,745,48,671,134,750,0,24,-1,protoss,hard
21,1621,369,0,900,325,0,0,765,56,559,134,800,0,24,-1,protoss,hard
22,1970,384,0,900,325,0,0,810,60,559,111,800,0,24,-1,protoss,hard
23,2013,395,0,900,325,0,0,845,68,559,111,850,0,24,-1,protoss,hard
24,2046,410,0,950,525,0,0,870,76,587,111,850,0,24,-1,protoss,hard
25,2094,430,0,950,525,0,0,910,84,559,134,850,0,24,-1,protoss,hard
26,2137,450,0,1000,525,0,0,945,92,559,134,850,0,24,-1,protoss,hard
27,2020,473,0,1000,550,0,0,970,100,559,111,1000,0,24,-1,protoss,hard
28,2218,496,0,1000,550,0,0,1010,108,559,134,1050,0,24,-1,protoss,hard
29,2259,516,0,1000,550,0,0,1035,124,503,179,1050,0,24,-1,protoss,hard
30,2310,536,0,1000,550,0,0,1070,140,559,246,1050,0,24,-1,protoss,hard
31,2356,558,0,1000,550,0,0,1100,156,503,246,1050,0,24,-1,protoss,hard
32,2398,583,0,1050,550,0,0,1130,168,531,246,1050,0,24,-1,protoss,hard
33,2449,608,0,1050,550,0,0,1165,184,531,246,1050,0,24,-1,protoss,hard
34,2495,633,0,1050,550,0,0,1195,200,531,268,1050,0,24,-1,protoss,hard
35,2541,658,0,1050,550,0,0,1225,216,531,268,1050,0,24,-1,protoss,hard
36,2598,683,0,1050,550,0,0,1270,228,587,246,1050,0,24,-1,protoss,hard
37,2639,708,0,1050,550,0,0,1295,244,559,246,1050,0,24,-1,protoss,hard
38,2376,733,0,1050,550,0,0,1320,256,531,223,1350,0,24,-1,protoss,hard
39,2732,759,0,1050,700,0,0,1360,272,503,246,1400,0,24,-1,protoss,hard
40,2779,784,0,1050,700,0,0,1395,284,559,223,1400,0,24,-1,protoss,hard
41,2815,809,0,1050,700,0,0,1415,300,531,246,1400,0,24,-1,protoss,hard
42,2862,839,0,1100,1000,0,0,1450,312,503,223,1500,0,24,-1,protoss,hard
43,2908,869,0,1100,1000,0,0,1480,328,475,246,1500,0,24,-1,protoss,hard
44,2960,898,0,1100,1000,0,0,1520,340,559,223,1550,0,24,-1,protoss,hard
45,3001,929,0,1150,1000,0,0,1545,356,531,246,1550,0,24,-1,protoss,hard
46,3052,959,0,1200,1000,0,0,1580,372,559,246,1600,0,24,-1,protoss,hard
47,3108,987,0,1200,1000,0,0,1620,388,587,268,1650,0,24,-1,protoss,hard
48,3164,1017,0,1250,1000,0,0,1660,404,643,268,1700,0,24,-1,protoss,hard
49,3210,1047,0,1300,1000,0,0,1690,420,615,268,1700,0,24,-1,protoss,hard
50,3273,1077,0,1350,1000,0,0,1745,428,699,223,1700,0,24,-1,protoss,hard
51,3334,1113,5,1350,1000,0,0,1790,444,727,223,1700,0,24,-1,protoss,hard
52,3385,1153,10,1400,1000,0,0,1825,460,755,223,1700,0,24,-1,protoss,hard
53,3451,1193,15,1400,1000,0,0,1875,476,727,268,1700,0,24,-1,protoss,hard
54,3517,1235,20,1400,1000,0,0,1925,492,755,268,1700,0,24,-1,protoss,hard
55,3574,1280,25,1400,1000,0,0,1970,504,811,246,1700,0,24,-1,protoss,hard
56,3631,1325,30,1400,1000,0,0,2015,516,783,223,1700,0,24,-1,protoss,hard
57,3697,1372,35,1400,1000,0,0,2065,532,783,223,1700,0,24,-1,protoss,hard
58,3768,1422,40,1400,1000,0,0,2120,548,839,246,1700,0,24,-1,protoss,hard
59,3839,1475,45,1400,1300,0,0,2175,564,895,268,1750,0,24,-1,protoss,hard
60,3895,1517,50,1400,1300,0,0,2215,580,839,268,1950,0,24,-1,protoss,hard
61,3967,1543,55,1400,1300,0,0,2275,592,867,246,2100,0,24,-1,protoss,hard
62,4028,1570,60,1450,1300,0,0,2320,608,811,246,2200,0,24,-1,protoss,hard
63,4099,1605,71,1600,1300,0,0,2375,624,895,246,2200,0,24,-1,protoss,hard
64,4160,1640,89,1700,1300,0,0,2420,640,811,268,2200,0,24,-1,protoss,hard
65,4232,1679,109,1800,1300,0,0,2480,652,895,246,2200,0,24,-1,protoss,hard
66,4299,1721,129,1800,1300,0,0,2535,664,895,223,2450,50,24,-1,protoss,hard
67,4370,1750,149,1900,1300,0,0,2590,680,951,223,2600,100,24,-1,protoss,hard
68,4446,1780,169,1900,1300,0,0,2650,696,951,246,2600,100,24,-1,protoss,hard
69,4522,1815,189,1900,1300,0,0,2710,712,951,268,2675,125,24,-1,protoss,hard
70,4593,1846,209,1900,1300,0,0,2765,728,951,246,2750,150,24,-1,protoss,hard
71,4660,1880,229,2200,1300,0,0,2820,740,923,246,2750,150,24,-1,protoss,hard
72,4727,1921,249,2300,1300,0,0,2875,752,951,223,2850,150,24,-1,protoss,hard
73,4803,1960,269,2400,1300,0,0,2935,768,951,246,2925,175,24,-1,protoss,hard
74,4874,1997,289,2500,1300,0,0,2990,784,979,246,3000,200,24,-1,protoss,hard
75,4950,2040,309,2600,1300,0,0,3050,800,979,268,3075,225,24,-1,protoss,hard
76,5026,2079,329,2600,1300,0,0,3110,816,1007,268,3150,250,24,-1,protoss,hard
77,5098,2119,349,2700,1300,0,0,3170,828,1007,246,3150,250,24,-1,protoss,hard
78,5164,2167,369,2700,1300,0,0,3220,844,951,246,3250,250,24,-1,protoss,hard
79,5251,2212,389,2900,1300,0,0,3295,856,1035,223,3250,250,24,-1,protoss,hard
80,5317,2257,409,2900,1300,0,0,3345,872,951,246,3325,275,24,-1,protoss,hard
81,5393,2302,429,3000,1300,0,0,3405,888,1035,246,3400,300,24,-1,protoss,hard
82,5469,2343,449,3100,1300,0,0,3465,904,951,268,3475,325,24,-1,protoss,hard
83,5541,2387,469,3200,1300,0,0,3525,916,1035,246,3550,350,24,-1,protoss,hard
84,5607,2437,489,3200,1300,0,0,3575,932,951,246,3550,350,24,-1,protoss,hard
85,5689,2483,509,3300,1300,0,0,3645,944,979,223,3650,350,24,-1,protoss,hard
86,5760,2532,529,3400,1300,50,0,3700,960,979,246,3650,350,24,-1,protoss,hard
87,5836,2592,549,3500,1300,50,0,3760,976,1035,246,3650,350,24,-1,protoss,hard
88,5908,2652,569,3500,1300,50,0,3820,988,1007,246,3650,350,24,-1,protoss,hard
89,5979,2716,589,3600,1300,50,0,3875,1004,979,246,3650,350,24,-1,protoss,hard
90,6055,2785,609,3700,1300,50,0,3935,1020,979,246,3725,375,24,-1,protoss,hard
91,6141,2850,629,3700,1300,50,0,4005,1036,979,268,3725,375,24,-1,protoss,hard
92,6212,2915,649,3700,1300,50,0,4060,1052,1035,268,3725,375,24,-1,protoss,hard
93,6269,2976,669,3700,1300,50,0,4105,1064,951,246,3800,400,24,-1,protoss,hard
94,6356,3040,689,3700,1300,50,0,4180,1076,1035,223,3875,425,24,-1,protoss,hard
95,6422,3100,709,3700,1300,50,0,4230,1092,951,223,3875,425,24,-1,protoss,hard
96,6498,3164,729,3800,1300,50,0,4290,1108,1035,246,3950,450,24,-1,protoss,hard
97,6574,3221,749,3800,1300,50,0,4350,1124,923,268,4050,450,24,-1,protoss,hard
98,6650,3278,769,3900,1300,50,0,4410,1140,1007,268,4125,475,24,-1,protoss,hard
99,6713,3334,789,3900,1300,50,0,4465,1148,979,223,4125,475,24,-1,protoss,hard
100,6799,3394,809,4000,1300,50,0,4535,1164,1035,223,4275,525,24,-1,protoss,hard
101,6865,3447,829,4000,1300,50,0,4585,1180,979,223,4350,550,24,-1,protoss,hard
102,6941,3502,849,4200,1300,50,0,4645,1196,1007,268,4350,550,24,-1,protoss,hard
103,7022,3558,869,4300,1300,50,0,4710,1212,979,268,4350,550,24,-1,protoss,hard
104,7093,3626,889,4300,1300,50,0,4765,1228,1007,268,4350,550,24,-1,protoss,hard
105,7160,3693,909,4400,1300,50,0,4820,1240,979,246,4450,550,24,-1,protoss,hard
