,score,idle_production_time,idle_worker_time,total_value_units,total_value_structures,killed_value_units,killed_value_structures,collected_minerals,collected_vespene,collection_rate_minerals,collection_rate_vespene,spent_minerals,spent_vespene,number_roaches,result,race,difficulty
1,1100,17,0,700,300,0,0,0,0,0,0,50,0,26,0,terran,hard
2,1125,37,0,700,300,0,0,25,0,221,0,50,0,26,0,terran,hard
3,1160,54,0,700,300,0,0,60,0,347,0,100,0,26,0,terran,hard
4,1220,69,0,750,300,0,0,120,0,671,0,100,0,26,0,terran,hard
5,1250,84,0,750,300,0,0,150,0,699,0,100,0,26,0,terran,hard
6,1265,102,0,800,300,0,0,190,0,727,0,225,0,26,0,terran,hard
7,1340,116,0,800,300,0,0,240,0,671,0,275,0,26,0,terran,hard
8,1385,126,0,800,300,0,0,285,0,755,0,275,0,26,0,terran,hard
9,1420,136,0,800,300,0,0,320,0,727,0,275,0,26,0,terran,hard
10,1460,151,0,800,300,0,0,360,0,671,0,275,0,26,0,terran,hard
11,1510,166,0,950,300,0,0,410,0,699,0,325,0,26,0,terran,hard
12,1555,171,0,950,300,0,0,455,0,755,0,425,0,26,0,terran,hard
13,1600,176,0,950,325,0,0,500,0,755,0,425,0,26,0,terran,hard
14,1639,181,0,950,325,0,0,535,4,699,22,425,0,26,0,terran,hard
15,1687,186,0,1050,325,0,0,575,12,671,67,475,0,26,0,terran,hard
16,1740,191,0,1100,325,0,0,620,20,699,111,475,0,26,0,terran,hard
17,1593,196,0,1100,325,0,0,665,28,727,134,675,0,26,0,terran,hard
18,1836,201,0,1100,325,0,0,700,36,699,134,725,0,26,0,terran,hard
19,1894,206,0,1150,325,0,0,750,44,727,134,725,0,26,0,terran,hard
20,1943,211,0,1150,325,0,0,795,48,727,111,725,0,26,0,terran,hard
21,1996,216,0,1150,325,0,0,840,56,783,111,775,0,26,0,terran,hard
22,2054,221,0,1200,325,0,0,890,64,783,111,775,0,26,0,terran,hard
23,2122,226,0,1200,325,0,0,950,72,867,134,775,0,26,0,terran,hard
24,2185,231,0,1200,325,0,0,1005,80,923,134,825,0,26,0,terran,hard
25,2229,236,0,1250,325,0,0,1045,84,867,111,825,0,26,0,terran,hard
26,1987,241,0,1250,325,0,0,1095,92,811,111,1125,0,26,0,terran,hard
27,2035,246,0,1250,325,0,0,1160,100,867,111,1150,0,26,0,terran,hard
28,2413,254,0,1300,325,0,0,1205,108,895,134,1200,0,26,0,terran,hard
29,2456,259,5,1300,325,0,0,1240,116,783,134,1200,0,26,0,terran,hard
30,2519,264,10,1300,325,0,0,1295,124,755,134,1250,0,26,0,terran,hard
31,2578,271,15,1350,525,0,0,1350,128,811,111,1250,0,26,0,terran,hard
32,2471,281,20,1350,525,0,0,1385,136,839,111,1400,0,26,0,terran,hard
33,2684,291,25,1350,525,0,0,1440,144,811,111,1450,0,26,0,terran,hard
34,2737,301,30,1400,550,0,0,1485,152,755,134,1450,0,26,0,terran,hard
35,2798,311,35,1400,550,0,0,1530,168,811,179,1450,0,26,0,terran,hard
36,2845,321,40,1400,550,0,0,1565,180,699,179,1500,0,26,0,terran,hard
37,2907,331,45,1450,550,0,0,1615,192,727,223,1500,0,26,0,terran,hard
38,2978,341,50,1450,550,0,0,1670,208,727,223,1500,0,26,0,terran,hard
39,3044,351,55,1450,550,0,0,1720,224,839,268,1550,0,26,0,terran,hard
40,3095,361,60,1500,550,0,0,1755,240,783,268,1550,0,26,0,terran,hard
41,2862,371,65,1500,550,0,0,1810,252,839,246,1850,0,26,0,terran,hard
42,2924,381,70,1500,550,0,0,1860,264,783,223,1850,0,26,0,terran,hard
43,3290,392,75,1550,550,0,0,1910,280,867,223,1900,0,26,0,terran,hard
44,3346,403,80,1550,700,0,0,1950,296,783,246,1900,0,26,0,terran,hard
45,3417,419,85,1550,700,0,0,2005,312,839,268,1900,0,26,0,terran,hard
46,3488,439,90,1600,700,0,0,2060,328,839,268,1900,0,26,0,terran,hard
47,3540,459,95,1600,700,0,0,2100,340,839,246,1900,0,26,0,terran,hard
48,3617,479,100,1600,1000,0,0,2165,352,867,223,1900,0,26,0,terran,hard
49,3693,502,105,1600,1000,0,0,2225,368,923,223,2050,0,26,0,terran,hard
50,3764,522,110,1600,1000,0,0,2280,384,1007,246,2050,0,26,0,terran,hard
51,3830,543,115,1600,1000,0,0,2330,400,951,268,2050,0,26,0,terran,hard
52,3907,564,121,1750,1000,0,0,2395,412,951,246,2200,0,26,0,terran,hard
53,3979,584,131,1750,1000,0,0,2455,424,979,223,2200,0,26,0,terran,hard
54,4045,605,141,1750,1000,0,0,2505,440,979,223,2200,0,26,0,terran,hard
55,4121,629,151,1800,1000,0,0,2565,456,951,246,2375,25,26,0,terran,hard
