,score,idle_production_time,idle_worker_time,total_value_units,total_value_structures,killed_value_units,killed_value_structures,collected_minerals,collected_vespene,collection_rate_minerals,collection_rate_vespene,spent_minerals,spent_vespene,number_roaches,result,race,difficulty
1,1100,17,0,700,300,0,0,0,0,0,0,50,0,7,-1,zerg,hard
2,1125,37,0,700,300,0,0,25,0,176,0,50,0,7,-1,zerg,hard
3,1160,54,0,700,300,0,0,60,0,347,0,100,0,7,-1,zerg,hard
4,1220,69,0,750,300,0,0,120,0,671,0,100,0,7,-1,zerg,hard
5,1250,84,0,750,300,0,0,150,0,727,0,100,0,7,-1,zerg,hard
6,1260,102,0,800,300,0,0,185,0,699,0,125,0,7,-1,zerg,hard
7,1335,120,0,800,300,0,0,235,0,643,0,175,0,7,-1,zerg,hard
8,1375,135,0,800,300,0,0,275,0,699,0,175,0,7,-1,zerg,hard
9,1420,150,0,800,300,0,0,320,0,755,0,175,0,7,-1,zerg,hard
10,1265,167,0,850,300,0,0,365,0,727,0,375,0,7,-1,zerg,hard
11,1505,185,0,850,300,0,0,405,0,727,0,425,0,7,-1,zerg,hard
12,1545,200,0,850,300,0,0,445,0,699,0,425,0,7,-1,zerg,hard
13,1585,215,0,850,325,0,0,485,0,671,0,425,0,7,-1,zerg,hard
14,1629,232,0,900,325,0,0,525,4,643,22,425,0,7,-1,zerg,hard
15,1668,252,0,900,325,0,0,560,8,643,44,425,0,7,-1,zerg,hard
16,1711,272,0,900,325,0,0,595,16,615,89,425,0,7,-1,zerg,hard
17,1769,292,0,900,325,0,0,645,24,643,111,425,0,7,-1,zerg,hard
18,1817,312,0,900,325,0,0,685,32,699,134,425,0,7,-1,zerg,hard
19,1551,332,0,900,325,0,0,715,36,671,111,725,0,7,-1,zerg,hard
20,1594,352,0,900,325,0,0,750,44,643,111,750,0,7,-1,zerg,hard
21,1933,369,0,900,325,0,0,785,48,559,89,800,0,7,-1,zerg,hard
22,1971,383,0,900,325,0,0,815,56,559,111,850,0,7,-1,zerg,hard
23,2014,393,0,900,325,0,0,850,64,531,111,850,0,7,-1,zerg,hard
24,2062,409,0,950,525,0,0,890,72,587,134,850,0,7,-1,zerg,hard
25,2100,429,0,950,525,0,0,920,80,587,134,850,0,7,-1,zerg,hard
26,2139,449,0,1000,550,0,0,955,84,615,111,850,0,7,-1,zerg,hard
27,2171,472,0,1000,550,0,0,975,96,475,134,1000,0,7,-1,zerg,hard
28,2218,494,0,1000,550,0,0,1010,108,503,156,1050,0,7,-1,zerg,hard
29,2274,514,0,1000,550,0,0,1050,124,531,223,1050,0,7,-1,zerg,hard
30,2310,534,0,1000,550,0,0,1070,140,531,246,1050,0,7,-1,zerg,hard
31,2356,557,0,1050,550,0,0,1100,156,503,268,1050,0,7,-1,zerg,hard
32,2407,582,0,1050,550,0,0,1135,172,475,268,1050,0,7,-1,zerg,hard
33,2453,607,0,1050,550,0,0,1165,188,531,268,1050,0,7,-1,zerg,hard
34,2504,632,0,1050,550,0,0,1200,204,559,268,1050,0,7,-1,zerg,hard
35,2547,657,0,1050,550,0,0,1235,212,559,223,1050,0,7,-1,zerg,hard
36,2598,682,0,1050,550,0,0,1270,228,587,223,1050,0,7,-1,zerg,hard
37,2649,707,0,1050,550,0,0,1305,244,559,223,1050,0,7,-1,zerg,hard
38,2390,734,0,1050,700,0,0,1330,260,531,268,1350,0,7,-1,zerg,hard
39,2737,762,0,1050,700,0,0,1365,272,531,246,1400,0,7,-1,zerg,hard
40,2788,787,0,1050,700,0,0,1400,288,559,223,1400,0,7,-1,zerg,hard
41,2820,815,0,1050,1000,0,0,1420,300,503,223,1450,0,7,-1,zerg,hard
42,2866,845,0,1100,1000,0,0,1450,316,475,246,1500,0,7,-1,zerg,hard
43,2922,875,0,1100,1000,0,0,1490,332,503,268,1500,0,7,-1,zerg,hard
44,2968,907,0,1150,1000,0,0,1520,348,559,268,1550,0,7,-1,zerg,hard
45,3014,938,0,1150,1000,0,0,1550,364,559,268,1600,0,7,-1,zerg,hard
46,3066,968,0,1200,1000,0,0,1590,376,559,246,1600,0,7,-1,zerg,hard
47,3117,999,0,1200,1000,0,0,1625,392,587,246,1650,0,7,-1,zerg,hard
48,3173,1030,0,1250,1000,0,0,1665,408,643,246,1700,0,7,-1,zerg,hard
49,3225,1060,0,1300,1000,0,0,1705,420,615,246,1700,0,7,-1,zerg,hard
50,3277,1092,0,1350,1000,0,0,1745,432,671,223,1700,0,7,-1,zerg,hard
51,3343,1129,5,1350,1000,0,0,1795,448,727,223,1700,0,7,-1,zerg,hard
52,3414,1169,10,1400,1000,0,0,1850,464,839,246,1700,0,7,-1,zerg,hard
53,3465,1209,15,1400,1000,0,0,1885,480,783,268,1700,0,7,-1,zerg,hard
54,3541,1251,20,1400,1000,0,0,1945,496,839,268,1700,0,7,-1,zerg,hard
55,3593,1296,25,1400,1000,0,0,1985,508,755,246,1700,0,7,-1,zerg,hard
56,3659,1341,30,1400,1000,0,0,2035,524,839,246,1700,0,7,-1,zerg,hard
57,3721,1388,35,1400,1000,0,0,2085,536,783,223,1700,0,7,-1,zerg,hard
